timestamp, temp, humi
1555090981.68, 19.847755, 1.540644
1555090982.68, 19.868122, 1.541260
1555090983.69, 19.872746, 1.541724
1555090984.69, 19.885555, 1.541582
1555090985.69, 19.899691, 1.541442
1555090986.69, 19.924591, 1.542283
1555090987.7, 19.934950, 1.541283
1555090988.7, 19.936741, 1.541699
1555090989.7, 19.964399, 1.540836
1555090990.71, 19.961494, 1.541870
1555090991.71, 19.978111, 1.541280
1555090992.71, 20.001099, 1.540366
1555090993.72, 20.004908, 1.540302
1555090994.72, 20.016657, 1.540862
1555090995.72, 20.024185, 1.541472
1555090996.73, 20.040789, 1.541426
1555090997.73, 20.053335, 1.540434
1555090998.73, 20.067701, 1.540877
1555090999.74, 20.067074, 1.542212
1555091000.74, 20.098162, 1.541709
1555091001.74, 20.104057, 1.541211
1555091002.74, 20.111771, 1.542059
1555091003.75, 20.134846, 1.541254
1555091004.75, 20.124983, 1.540674
1555091005.75, 20.155077, 1.542406
1555091006.76, 20.162989, 1.541497
1555091007.76, 20.178566, 1.540891
1555091008.76, 20.178646, 1.540607
1555091009.77, 20.198891, 1.541673
1555091010.77, 20.206047, 1.541650
1555091011.77, 20.207642, 1.542257
1555091012.77, 20.226572, 1.541251
1555091013.78, 20.242228, 1.541718
1555091014.78, 20.255402, 1.541267
1555091015.78, 20.270081, 1.542180
1555091016.79, 20.293554, 1.541166
1555091017.79, 20.279440, 1.542147
1555091018.79, 20.292904, 1.542223
1555091019.79, 20.305534, 1.541028
1555091020.8, 20.302040, 1.540953
1555091021.8, 20.317369, 1.541143
1555091022.8, 20.348354, 1.540965
1555091023.81, 20.352173, 1.540845
1555091024.81, 20.358713, 1.540308
1555091025.81, 20.367546, 1.540094
1555091026.82, 20.375256, 1.540482
1555091027.82, 20.408413, 1.540708
1555091028.82, 20.408300, 1.540999
1555091029.82, 20.421711, 1.541148
1555091030.83, 20.437422, 1.540853
1555091031.83, 20.455055, 1.540490
1555091032.83, 20.463448, 1.541604
1555091033.84, 20.476252, 1.539894
1555091034.84, 20.480112, 1.539650
1555091035.84, 20.487619, 1.541053
1555091036.85, 20.500666, 1.541381
1555091037.85, 20.509956, 1.540449
1555091038.85, 20.513857, 1.541895
1555091039.86, 20.514580, 1.542216
1555091040.86, 20.520983, 1.541678
1555091041.86, 20.538382, 1.541020
1555091042.87, 20.565460, 1.539952
1555091043.87, 20.563677, 1.540331
1555091044.87, 20.576254, 1.539326
1555091045.87, 20.577328, 1.541078
1555091046.88, 20.588583, 1.540394
1555091047.88, 20.583443, 1.542294
1555091048.88, 20.600229, 1.540996
1555091049.89, 20.625776, 1.540990
1555091050.89, 20.638250, 1.540533
1555091051.89, 20.645395, 1.541204
1555091052.89, 20.648600, 1.541878
1555091053.9, 20.653957, 1.541668
1555091054.9, 20.669022, 1.540958
1555091055.9, 20.676826, 1.541324
1555091056.91, 20.685366, 1.541620
1555091057.91, 20.693277, 1.541196
1555091058.91, 20.706163, 1.541252
1555091059.91, 20.706129, 1.540500
1555091060.92, 20.720116, 1.541415
1555091061.92, 20.722084, 1.541586
1555091062.92, 20.732498, 1.542171
1555091063.93, 20.747677, 1.541689
1555091064.93, 20.761303, 1.541892
1555091065.93, 20.747244, 1.541602
1555091066.93, 20.775234, 1.540742
1555091067.94, 20.773041, 1.541788
1555091068.94, 20.800348, 1.542075
1555091069.94, 20.785616, 1.541788
1555091070.94, 20.792583, 1.542458
1555091071.95, 20.798405, 1.541221
1555091072.95, 20.818134, 1.540588
1555091073.95, 20.835461, 1.541403
1555091074.96, 20.836643, 1.541577
1555091075.96, 20.844273, 1.540821
1555091076.96, 20.859507, 1.541365
1555091077.96, 20.868658, 1.540738
1555091078.97, 20.864227, 1.542751
1555091079.97, 20.871494, 1.541196
1555091080.97, 20.902515, 1.540557
1555091081.98, 20.906731, 1.540542
1555091082.98, 20.910839, 1.541554
1555091083.98, 20.909607, 1.541477
1555091084.98, 20.909143, 1.538370
1555091085.98, 20.933105, 1.538453
1555091086.99, 20.938589, 1.538804
1555091087.99, 20.939531, 1.537872
1555091088.99, 20.951674, 1.539429
1555091090.0, 20.950005, 1.539863
1555091091.0, 20.952400, 1.538798
1555091092.0, 20.980886, 1.538417
1555091093.0, 20.979837, 1.538330
1555091094.01, 20.985905, 1.538654
1555091095.01, 20.978834, 1.539135
1555091096.01, 20.993029, 1.537906
1555091097.01, 21.005337, 1.538971
1555091098.02, 21.007410, 1.538234
1555091099.02, 21.020765, 1.538013
1555091100.02, 21.017155, 1.538783
1555091101.02, 21.005690, 1.538695
1555091102.03, 21.028696, 1.538563
1555091103.03, 21.054453, 1.538087
1555091104.03, 21.048496, 1.538766
1555091105.03, 21.047415, 1.537927
1555091106.04, 21.074520, 1.538719
1555091107.04, 21.067858, 1.538543
1555091108.04, 21.081675, 1.538581
1555091109.04, 21.086922, 1.539822
1555091110.05, 21.102125, 1.538116
1555091111.05, 21.092588, 1.538882
1555091112.05, 21.099548, 1.540623
1555091113.06, 21.105293, 1.540161
1555091114.06, 21.106497, 1.539616
1555091115.06, 21.105211, 1.539291
1555091116.06, 21.124416, 1.538804
1555091117.07, 21.138611, 1.538782
1555091118.07, 21.150595, 1.539032
1555091119.07, 21.142342, 1.539540
1555091120.07, 21.141184, 1.538319
1555091121.08, 21.142513, 1.538783
1555091122.08, 21.164373, 1.538919
1555091123.08, 21.172974, 1.538736
1555091124.08, 21.170006, 1.537671
1555091125.09, 21.184763, 1.538483
1555091126.09, 21.181665, 1.539143
1555091127.09, 21.183367, 1.539394
